root_id,super_class,class,bw_weighted,bw_unweighted,influence,in_syn,in_deg,out_syn,out_deg,total_syn,traversal,current_flow
720575940618659998,central,Kenyon_Cell,0.0,0.0,24.1385428173772,38.0,2.0,37.0,2.0,75.0,-4.3,
720575940610926762,sensory,olfactory,0.0,0.0,24.0,0.0,0.0,39.0,5.0,39.0,-0.0,
720575940620232875,central,unknown,0.0,0.0,22.8359013911285,140.0,11.0,64.0,7.0,204.0,-4.93,
720575940612204723,sensory,olfactory,0.0,0.0,25.10276993610156,5.0,1.0,71.0,7.0,76.0,-0.0,
720575940623280311,central,ALLN,0.0,5.13715977371063e-10,22.9204323095426,52.0,7.0,357.0,21.0,409.0,-4.55,
720575940624689336,sensory,olfactory,0.0,2.1867255701747165e-08,25.13110621528253,88.0,9.0,208.0,12.0,296.0,-0.0,
720575940605520062,central,unknown,0.0,1.5507884422914648e-11,24.49834269123754,55.0,8.0,94.0,12.0,149.0,-3.28,
720575940623739076,central,ALPN,1.4965418625801096e-06,2.5755673655166453e-06,24.374860591277177,213.0,28.0,1211.0,100.0,1424.0,-2.79,
720575940618660043,central,ALPN,0.0,3.605349785918871e-07,24.383478577958208,201.0,20.0,755.0,48.0,956.0,-2.96,
720575940609845454,sensory,olfactory,0.0,3.6676990465425205e-09,25.09996739661681,12.0,2.0,55.0,3.0,67.0,-0.0,
720575940608633045,central,Kenyon_Cell,0.0,0.0,24.335551091113423,61.0,4.0,22.0,1.0,83.0,-4.06,
720575940630292695,central,unknown,0.0,4.081285380637944e-09,24.33609174580081,51.0,5.0,55.0,6.0,106.0,-3.41,
720575940614727903,central,ALPN,1.2992102364522898e-05,3.451771470944798e-06,24.58892379988695,1648.0,104.0,1379.0,113.0,3027.0,-2.1,
720575940632652002,central,unknown,0.0,0.0,21.418098739460905,31.0,4.0,35.0,2.0,66.0,-5.83,
720575940629899511,central,Kenyon_Cell,0.0,0.0,24.711919062512163,130.0,9.0,19.0,1.0,149.0,-3.13,
720575940629342458,central,Kenyon_Cell,0.0,0.0,24.71787664815961,115.0,8.0,38.0,3.0,153.0,-3.12,
720575940629244154,central,unknown,0.0,0.0,23.333163309381284,133.0,15.0,0.0,0.0,133.0,-4.58,
720575940622493949,central,unknown,0.0,0.0,22.937042566653897,60.0,7.0,5.0,1.0,65.0,-4.92,
720575940614105342,sensory,olfactory,0.0,5.84943175345892e-11,25.118286088921973,53.0,8.0,135.0,6.0,188.0,-0.0,
720575940625606916,central,LHLN,0.0,0.0,24.43698507131283,99.0,9.0,73.0,9.0,172.0,-3.34,
720575940625148174,sensory,hygrosensory,0.0,0.0,24.55923433774484,173.0,16.0,262.0,22.0,435.0,-3.58,
720575940627605779,central,ALLN,0.0,3.367434503041938e-07,24.63291261236945,2074.0,92.0,943.0,93.0,3017.0,-3.2,
720575940624853276,sensory,olfactory,0.0,8.444108297298294e-10,25.101310023892008,61.0,9.0,118.0,7.0,179.0,-0.0,
720575940613941533,sensory,hygrosensory,0.0,0.0,24.540095124099643,199.0,16.0,176.0,15.0,375.0,-3.59,
720575940644153636,central,Kenyon_Cell,0.0,0.0,24.33590387699132,35.0,4.0,29.0,2.0,64.0,-4.03,
720575940621904166,sensory,olfactory,0.0,0.0,25.096733885761463,16.0,3.0,75.0,5.0,91.0,-0.0,
720575940624001321,central,ALPN,3.774463989693197e-06,5.045797453011206e-07,24.89376264908808,1090.0,82.0,1537.0,115.0,2627.0,-1.82,
720575940623116585,central,Kenyon_Cell,0.0,0.0,24.42495185979904,54.0,5.0,17.0,1.0,71.0,-3.47,
720575940632652077,central,Kenyon_Cell,0.0,8.337899576319656e-10,24.15464456293593,32.0,3.0,27.0,2.0,59.0,-3.76,
720575940631275821,central,Kenyon_Cell,0.0,0.0,24.294861377512643,60.0,5.0,34.0,1.0,94.0,-3.92,
720575940631931183,sensory,olfactory,0.0,6.237525605064685e-10,25.075767015752803,122.0,11.0,188.0,17.0,310.0,-0.0,
