root_id,betweenness,rank
720575940633556644,3.7729406069669817e-06,345
720575940624314468,3.7348850100667382e-06,346
720575940611557017,3.7185754685380627e-06,347
720575940621399899,3.642464274737576e-06,348
720575940621477312,3.631591247051792e-06,349
720575940613915823,3.6261547332089005e-06,350
720575940626569554,3.6152817055231165e-06,351
720575940623618708,3.5717895947799814e-06,352
720575940627146756,3.53917051172263e-06,353
720575940628348265,3.5065514286652783e-06,354
720575940619559815,3.5065514286652783e-06,355
720575940619405812,3.5011149148223863e-06,356
720575940630244507,3.4684958317650352e-06,357
720575940628709019,3.4630593179221432e-06,358
720575940617374242,3.4467497763934677e-06,359
720575940625803336,3.4467497763934677e-06,360
720575940609423299,3.419567207179008e-06,361
720575940626430280,3.39782115180744e-06,362
720575940623992317,3.3869481241216566e-06,363
720575940614963359,3.359765554907197e-06,364
720575940624095172,3.343456013378521e-06,365
720575940619473624,3.3380194995356295e-06,366
720575940626535973,3.3217099580069535e-06,367
720575940646526243,3.3217099580069535e-06,368
720575940638149865,3.316273444164062e-06,369
720575940624986300,3.31083693032117e-06,370
720575940632499757,3.305400416478278e-06,371
720575940637611365,3.299963902635386e-06,372
720575940626843194,3.294527388792494e-06,373
720575940629768722,3.2890908749496024e-06,374
720575940622184105,3.2782178472638184e-06,375
720575940644791918,3.2727813334209264e-06,376
720575940615821981,3.2673448195780344e-06,377
720575940626672058,3.256471791892251e-06,378
720575940624231143,3.251035278049359e-06,379
720575940618273241,3.2292892226777913e-06,380
720575940611610737,3.2238527088348993e-06,381
720575940619038493,3.2238527088348993e-06,382
720575940625052942,3.2129796811491154e-06,383
720575940623957173,3.2075431673062238e-06,384
720575940620297819,3.202106653463332e-06,385
720575940629513478,3.1694875704059803e-06,386
720575940618819668,3.1586145427201967e-06,387
720575940629229020,3.1477415150344127e-06,388
720575940624705514,3.1423050011915207e-06,389
720575940617672920,3.115122431977061e-06,390
720575940614418794,3.0988128904483856e-06,391
720575940628595944,3.0988128904483856e-06,392
720575940620672432,3.077066835076818e-06,393
720575940604456364,3.077066835076818e-06,394
720575940629792060,3.071630321233926e-06,395
720575940617013554,3.066193807391034e-06,396
720575940624774839,3.0553207797052505e-06,397
720575940621777390,3.0553207797052505e-06,398
720575940638989894,3.0498842658623585e-06,399
720575940613590579,3.0335747243336826e-06,400
720575940627181498,3.0335747243336826e-06,401
720575940617688093,3.022701696647899e-06,402
720575940627731176,3.017265182805007e-06,403
720575940620012923,3.011828668962115e-06,404
720575940630931999,3.006392155119223e-06,405
720575940632043576,3.0009556412763314e-06,406
720575940628115756,2.9900826135905475e-06,407
720575940615868010,2.962900044376088e-06,408
720575940618987600,2.9520270166903043e-06,409
720575940606222014,2.9520270166903043e-06,410
720575940629123454,2.9465905028474124e-06,411
720575940635859354,2.9411539890045204e-06,412
720575940641148149,2.924844447475845e-06,413
720575940619866027,2.924844447475845e-06,414
720575940621947302,2.913971419790061e-06,415
720575940628971779,2.913971419790061e-06,416
720575940636809646,2.908534905947169e-06,417
720575940623019544,2.8704793090469257e-06,418
720575940613563117,2.8650427952040337e-06,419
720575940629502251,2.8487332536753578e-06,420
720575940615655611,2.843296739832466e-06,421
720575940617257985,2.843296739832466e-06,422
720575940621771041,2.837860225989574e-06,423
720575940614349974,2.832423712146682e-06,424
720575940637144944,2.8215506844608986e-06,425
720575940630041206,2.8106776567751146e-06,426
720575940605694752,2.7998046290893307e-06,427
720575940628102652,2.794368115246439e-06,428
720575940648646532,2.794368115246439e-06,429
720575940618116569,2.783495087560655e-06,430
720575940641281013,2.783495087560655e-06,431
720575940621468404,2.7671855460319796e-06,432
720575940624323110,2.7617490321890876e-06,433
720575940609944418,2.74000297681752e-06,434
720575940609648395,2.74000297681752e-06,435
720575940629975516,2.74000297681752e-06,436
720575940615084339,2.74000297681752e-06,437
720575940643683744,2.7073838937601685e-06,438
720575940605607392,2.7019473799172765e-06,439
720575940646056500,2.685637838388601e-06,440
720575940653310198,2.685637838388601e-06,441
720575940624986919,2.674764810702817e-06,442
720575940629155227,2.6638917830170334e-06,443
720575940613891442,2.6638917830170334e-06,444
720575940631994728,2.6530187553312494e-06,445
720575940618455791,2.6530187553312494e-06,446
720575940610231509,2.6475822414883574e-06,447
720575940626013315,2.636709213802574e-06,448
720575940611207922,2.631272699959682e-06,449
720575940631706107,2.6095266445881143e-06,450
720575940625813140,2.6095266445881143e-06,451
720575940638900713,2.6040901307452223e-06,452
720575940644496288,2.5986536169023303e-06,453
720575940615875412,2.5877805892165467e-06,454
720575940620673985,2.5877805892165467e-06,455
720575940620170887,2.5769075615307628e-06,456
720575940628789525,2.5714710476878708e-06,457
720575940611167842,2.5660345338449788e-06,458
720575940619625837,2.560598020002087e-06,459
720575940631244648,2.5551615061591952e-06,460
720575940628370732,2.5497249923163032e-06,461
720575940631631564,2.5442884784734112e-06,462
720575940622339113,2.5279789369447357e-06,463
720575940631176151,2.506232881573168e-06,464
720575940624121161,2.506232881573168e-06,465
720575940613940074,2.500796367730276e-06,466
720575940621070430,2.495359853887384e-06,467
720575940628522540,2.489923340044492e-06,468
720575940617818708,2.489923340044492e-06,469
720575940626246525,2.489923340044492e-06,470
720575940628154364,2.4844868262016e-06,471
720575940613656231,2.4844868262016e-06,472
720575940631705130,2.4790503123587086e-06,473
720575940636454136,2.4736137985158166e-06,474
720575940620983902,2.4681772846729246e-06,475
720575940628403791,2.4681772846729246e-06,476
720575940620988276,2.446431229301357e-06,477
720575940622324991,2.4301216877726815e-06,478
720575940625380169,2.4192486600868975e-06,479
720575940616864086,2.4192486600868975e-06,480
720575940632252743,2.4083756324011135e-06,481
720575940625102224,2.4083756324011135e-06,482
720575940644494752,2.402939118558222e-06,483
720575940632311115,2.392066090872438e-06,484
720575940616604817,2.3757565493437624e-06,485
720575940637635305,2.3594470078150864e-06,486
720575940617054237,2.354010493972195e-06,487
