modality,kind,band,size,label,detour_pct,cut_pairs,single_sum,best_single,superadd,z_vs_rankmatched,ctl_mean,ctl_degenerate,median_rank
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,4,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,8,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,16,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,random,rank1000_2000,32,rank1000_2000,0.0,0,,,,,,,
olfactory,celltype,rank_matched,2,v2LN30,4.978819640103196,0,4.857861721878082,3.514605289211031,1.0248994156586142,5.83891239496497,0.9518067486601424,False,2.0
olfactory,celltype,rank_matched,4,lLN2T_c,4.379469946954837,0,2.599414295279661,1.608563525748005,1.684791052702765,2.343642575832493,1.812895394994968,False,6.5
olfactory,celltype,rank_matched,2,il3LN6,2.0166328686544537,0,1.5271394356917194,1.1102565157365414,1.3205296265177109,1.687269101863591,0.8554467509679095,False,8.5
olfactory,celltype,rank_matched,2,MZ_lv2PN,3.006358751588635,0,2.828303872906682,1.6116272226377797,1.062954649388138,1.2144094958046527,1.1426121619784548,False,6.5
olfactory,celltype,rank_matched,2,AL-AST1,1.9742280966969552,0,1.9080149513803168,1.1216866043925016,1.0347026344152797,0.7758624200455899,1.259526242169072,False,9.0
olfactory,celltype,rank_matched,2,DP1m_adPN,0.6824225912254267,0,0.5995504602990435,0.3374373947048663,1.1382237800051864,-0.2688316136635725,0.9763360020415046,False,12.0
olfactory,celltype,rank_matched,2,VESa1_P02,0.9861116789815192,0,0.9720276792087694,0.5189940665814236,1.0144892990950776,0.7903885621311127,0.6105162502731984,False,14.5
olfactory,celltype,rank_matched,4,lLN2F_b,1.1821572855234972,0,0.7702158886364016,0.63734019949655,1.5348388717563346,-0.2136012311932102,1.3430219143389834,False,32.5
olfactory,celltype,rank_matched,2,LHPV10b1,0.3137304908037811,0,0.2710760462614981,0.1379091952093217,1.15735231913902,-1.203861181295622,0.991440041626928,False,19.0
olfactory,celltype,rank_matched,2,CRE011,0.5522805563690579,0,0.3242667087697873,0.1761256338797929,1.70316761305629,-0.4074777377447308,0.7897565769544487,False,21.5
olfactory,celltype,rank_matched,2,VES079,0.5315719634695674,0,0.1901673756708988,0.1463812806968796,2.7952847411087944,0.2615097051540802,0.4312252315043835,False,62.5
olfactory,celltype,rank_matched,2,DM1_lPN,0.7009182880582148,0,0.3443860886931363,0.2516045044146383,2.035268877201265,-0.0139325237157283,0.7180679541530602,False,35.5
olfactory,celltype,rank_matched,2,CB0448,0.33223900111262,0,0.33223900111262,0.33223900111262,1.0,2307.4458593725435,4.552600880785743e-05,True,3626.0
olfactory,celltype,rank_matched,2,ALBN1,0.2708641216063654,0,0.2701551901105963,0.2436424682157423,1.0026241638943858,-0.5897698449894766,0.5455038428116206,False,52.5
olfactory,celltype,rank_matched,2,LHPD5c1,0.1973664669167029,0,0.1669785679868801,0.1234200882262342,1.1819868219986798,-0.9876055453352932,0.8951442010116606,False,32.0
olfactory,celltype,rank_matched,2,LHPV10d1,0.1353910863800952,0,0.1237038913023281,0.08482110761686,1.0944771822028128,-1.0187700978049428,0.8648918701166929,False,68.0
olfactory,celltype,rank_matched,2,PLP096,0.3500326050041346,0,0.3436732785111271,0.186115262191353,1.0185039887900438,-0.7540064145590047,0.8791918515802889,False,31.5
olfactory,celltype,rank_matched,4,lLN2T_b,1.0525689020622644,0,1.0295451029603389,0.8304289262355075,1.022363079612271,0.865184993332239,0.701382403631099,False,102.5
olfactory,celltype,rank_matched,2,DC1_adPN,1.2930177209785236,0,0.4841926159412137,0.4473679697841352,2.6704614618400333,1.2888488368996185,0.4535163882989533,False,104.0
olfactory,celltype,rank_matched,2,LHAV2k8,0.1481809966996262,0,0.1481809966996262,0.1109506591106905,1.0000000000000002,-0.5126505277680994,0.6761947586441501,False,50.5
olfactory,celltype,rank_matched,2,VA2_adPN,3.520049585204022,0,0.8994628991795868,0.7860337485989783,3.913501700197652,19.731411721000978,0.3057085420303914,False,108.0
olfactory,celltype,rank_matched,2,VM4_adPN,1.4705099939754158,0,1.0272802496257,1.0272802496257,1.4314594235713292,2.660801887166171,0.4685746239944565,False,124.0
olfactory,celltype,rank_matched,2,VES013,0.4450843950186118,0,0.4441530260505993,0.3425935324236666,1.0020969551334462,-0.161804093032266,0.5200652790440264,False,47.5
olfactory,celltype,rank_matched,2,PVLP076,0.4527530928902369,0,0.4501301749365858,0.3551381566136829,1.0058270209368223,-0.3895453451521969,0.8717668498375295,False,47.5
olfactory,celltype,rank_matched,2,AL-MBDL1,0.0774342472372095,0,0.0298383360373114,0.0255054640538984,2.595126187344416,-1.0059178243388471,0.3858638169854721,False,130.5
mechanosensory,random,top200,1,top200,0.0543117098964541,0,,,,,,,
mechanosensory,random,top200,1,top200,0.045858637657526,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0294099297830076,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0441051209885557,1113,,,,,,,
mechanosensory,random,top200,1,top200,0.0219201179474785,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0324125723949499,0,,,,,,,
mechanosensory,random,top200,1,top200,0.0529219920667183,0,,,,,,,
