root_id,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8,out_9,out_10,out_11,out_12,out_13,out_14,out_15,out_16,out_17,out_18,out_19,out_20,out_21,out_22,out_23,out_24,out_25,out_26,out_27,out_28,out_29,out_30,out_31,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,in_10,in_11,in_12,in_13,in_14,in_15,in_16,in_17,in_18,in_19,in_20,in_21,in_22,in_23,in_24,in_25,in_26,in_27,in_28,in_29,in_30,in_31,super_class
720575940620451866,0.13578914,-0.12647432,0.06588542,-0.26214772,-0.002200869,-0.0044523403,-0.006554017,-0.0018860395,0.0037165054,0.20084403,0.46795323,-0.009051343,0.0010111651,-0.19281697,0.01839209,-0.025826609,0.002293702,-0.10727617,-0.09004014,-0.0759128,-0.022355067,0.0386222,0.008489045,-0.082982175,-0.28734997,-0.018672258,-0.05815715,-0.02477457,0.036041677,-0.008574165,0.12956893,0.15151285,0.19364218,-0.15115619,0.066919014,-0.24159795,0.0016752416,0.0061395094,-0.011052364,0.005345638,0.004009907,-0.30324003,0.80927694,0.01907235,0.009426813,0.3985469,0.0711425,-0.056929898,-0.06354286,0.048503637,-0.1765871,-0.08830956,-0.022126272,-0.062457807,-0.22547647,0.23311748,-0.4676848,-0.18596384,0.11977128,0.02441943,-0.11981176,0.003992785,0.02163616,-0.016414102,central
720575940630216735,0.017390884,0.05301638,0.106926695,0.01222915,-0.11579898,-0.16992399,0.3241491,-0.2761083,-0.017717905,0.0047075367,-0.0017760443,0.073254175,0.064422555,-0.06595761,-0.07983059,0.06258187,-0.15324992,0.062706605,-0.013409404,-0.070857264,0.1756723,-0.07968286,0.031090122,0.068911955,0.011025617,0.018141683,0.19509548,0.124866426,-0.004752287,-0.1495263,0.06573446,-0.058710285,0.00036722497,0.0011736148,0.0023475005,0.00020831078,-0.0036028372,0.004928688,0.011482098,0.009062109,-0.0010956929,1.662363e-06,-2.7390693e-06,-0.0018869158,-0.004545773,0.002921084,-0.0007082952,0.004870767,0.007072596,-0.0021855256,6.925104e-05,-0.0036600016,0.011136888,-0.0045060916,-0.003924731,-0.0037337055,-0.0012383164,0.0012816176,-0.008195116,-0.0075187497,0.003997288,0.004457957,0.0030711342,0.010488383,sensory_ascending
720575940623237161,0.0011192111,0.0007056296,0.0021720405,-0.0022630852,0.045581833,-0.04851257,-0.0045029325,-0.0051516923,0.0986577,0.0020062386,0.010092308,0.0004080613,-0.00052826933,-0.0061619068,0.0012454883,0.0004280404,-0.0001619485,5.6705438e-05,-0.0055624875,-0.0059352675,-0.0039458526,-0.0045254156,-0.0027734395,0.004363768,0.0030758025,0.010107141,-0.0006521774,-0.0052839946,-0.0065743355,0.000623091,0.0037757952,0.007680267,0.0055459924,0.0018895408,0.009426755,-0.007167807,0.21691774,0.21425825,-0.019846112,0.010376335,0.19985238,-0.0010947036,0.036354758,-0.0041568684,0.0029767514,-0.0016539338,0.006215473,-0.0024385904,0.0019334896,0.013133422,0.0073721074,0.0036849924,0.009885205,0.0014901187,9.046402e-05,-0.0041672606,0.015055924,-0.019969443,-0.009170594,0.00090166484,0.01993017,-0.012707199,0.0030216565,0.0230102,central
720575940629397564,0.24526823,0.3863507,-0.20668575,-0.21183401,-0.257951,-0.2850458,0.16765901,0.510112,0.000361498,-0.16384058,0.026954286,0.01311461,-0.05679182,-0.045780927,0.11589661,-0.051913064,-0.0740795,0.20936212,0.0036194343,0.0011489,-0.0030506775,0.049791045,0.043230005,0.048094623,-0.029929573,0.027638638,-0.004023267,-0.06778887,0.03190037,0.038388416,0.012513123,-0.081493184,0.06578782,0.097651735,-0.056016844,-0.05451844,-0.061042476,0.064992726,0.03867177,-0.10943615,-0.001780162,0.05433547,0.016530883,-0.008642106,0.009507365,0.012604121,0.043122813,-0.025073778,0.015869664,-0.046640284,0.010521801,-0.033041064,0.0013168021,0.025710346,-0.066870674,0.11804223,-0.032103863,-0.0718772,-0.053947236,0.15489064,0.1478463,0.040950328,0.29371205,-0.078539416,sensory
720575940630937660,0.101409756,0.3206104,0.61811954,0.053884864,-0.5792073,-0.8094022,1.7349001,-1.384324,-0.14691696,0.014284639,-0.0073582213,0.060776196,0.27476794,-0.2713098,-0.43635124,0.043433495,-0.76149464,0.28881112,-0.36925495,0.10975853,0.53031635,-0.124558374,0.7557017,0.62862,0.021791928,0.1774082,1.8439403,0.6796713,0.21151228,-1.038397,0.4710837,-0.21767347,0.023513004,0.04679495,0.07861106,0.012345749,-0.0854274,0.13567016,0.3439529,0.24580096,-0.016306367,0.023997635,0.00157414,0.027567372,-0.027565751,0.11821722,-0.023652337,0.14951587,0.23525779,-0.040879928,-0.18369715,0.005164456,0.46584487,-0.12719834,-0.316684,-0.29764923,0.025696011,0.039924495,-0.57085264,-0.3417274,0.17895785,0.275554,0.04681006,0.4569298,central
720575940621762625,0.00022141323,0.0008272206,0.0023799608,0.00047999158,-0.00025412536,-0.0013125296,0.004481553,-0.002473799,-7.3728206e-06,2.9177758e-05,2.3095745e-05,-0.0011553633,-0.008236143,-0.0020051375,-0.0019506249,0.0067041903,-0.0032059005,0.0007761546,-0.0028290148,-0.0048093656,0.018469136,-0.00799245,0.007899498,0.006523791,-0.0020610234,-9.043836e-05,0.018839443,0.007837438,-0.0017550964,0.0014663876,-0.0018588135,-0.011538241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sensory
720575940638343238,0.9541653,1.1132958,-0.58345926,-0.22215225,-0.6115863,-0.777741,0.384043,1.243279,0.08853714,-0.15832506,-0.0431252,0.0075295875,-0.024194105,-0.11377656,-0.09612514,0.014543302,-0.109986424,-0.18364409,-0.3915174,0.0249567,0.16253154,0.2550328,0.258793,-0.11028083,0.21993284,0.08578945,0.07914203,0.34562656,0.60155433,0.24820636,-0.5855862,-0.045016024,1.478058,1.790319,-1.0377396,-0.35514355,-0.906149,1.0268759,0.58276165,-1.4834201,0.013354237,-0.014613474,-0.09062875,-0.04775351,-0.108454116,-0.24477793,-0.61465114,0.21377721,0.026760463,0.97249454,-0.68850464,0.10592804,0.086307354,-0.11257303,0.01625552,0.6671863,0.5277229,0.53667563,-0.11259359,-1.1311241,-0.5811587,-0.21765763,0.55030864,-0.25854325,central
720575940625727560,0.00029751725,0.0005587582,0.0011533974,0.00038101737,0.0012063226,0.0009227268,0.0048871273,0.0001946455,8.661672e-05,-0.0008085805,-5.3422897e-05,-0.0013809984,-0.0026904885,-0.0023781527,-0.0019471867,0.0014301004,-0.00072046067,-0.0006239203,-0.0031304904,-0.0054171905,0.013823643,-0.001967839,0.009267915,-0.0008539449,0.0005944362,-0.00048479682,0.0055853063,-0.0023108707,0.0007840894,-0.002657054,-0.0022538905,-0.00941541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sensory_ascending
720575940627824712,0.80577254,1.7427574,0.88238776,-0.4065375,0.030564291,0.24282953,-0.2604678,0.016925953,-0.007974812,-0.3091529,-0.020294309,0.061049152,2.1602807,0.1744771,-0.14351454,-0.8541029,0.5808658,-0.07880969,1.0921462,-1.0501431,-0.0039038188,-0.12889452,-0.7986765,-0.5456224,0.02748304,0.54791623,1.1782795,1.0284841,-1.7501441,0.8601322,-0.3399397,1.0933717,0.06770364,0.20911925,0.35568672,0.016678162,0.073965624,-0.10928716,0.06556417,-0.10166527,0.010517008,-0.0016651396,0.0018223125,-0.06711324,-0.24134667,-0.05632759,0.07048768,-0.20612466,0.0048168683,-0.02815032,-0.024414275,0.019130813,-0.0032275831,-0.0319529,0.26390213,0.15690623,-0.04963346,-0.08673485,-0.0557315,0.078936815,0.009061311,-0.12042447,0.058886297,0.23396194,ascending
720575940630839371,2.2112713,-0.9764854,0.1359182,0.7713587,0.1818749,0.17837478,-0.0453413,-0.3118032,-0.007854327,-2.4684281,0.6327848,0.11503028,-0.0065711243,2.0194225,-0.6897475,0.50835544,0.31933403,0.79432493,-1.4467102,-1.0663437,-0.24068606,0.32711306,0.11744978,-0.31603953,-1.227597,-0.42577446,-0.11343494,0.17802083,0.5140891,0.11754572,0.02174088,0.34692618,3.0995293,-1.7491441,0.33216903,1.0906942,0.08731363,-0.06641055,0.013711737,0.12431978,-0.005933392,1.5199541,0.31891006,-0.030529007,0.029821405,0.051859885,0.026633445,0.06679106,-0.858422,-1.694917,-0.05406131,0.34517613,-0.014861852,-0.011634889,-0.2305093,0.81955755,0.8872547,1.0762632,-0.1449265,-0.22558826,-0.06758342,-0.39356905,0.60727996,-0.4362652,descending
