modality,primary_type,fafb_bw,mcns_bw,fafb_rank,mcns_rank,in_both_top
visual,LAL074,5.470344770038179e-09,1.0157577090847891e-09,659,1110,False
visual,LAL076,0.0,2.9021648830993976e-10,2108,1274,False
visual,LAL081,4.157462025229016e-08,2.742545814528931e-08,330,426,False
visual,LAL088,0.0,0.0,2109,4422,False
visual,LAL089,0.0,0.0,2110,4423,False
visual,LAL090,0.0,0.0,2095,4424,False
visual,LAL093,0.0,0.0,2097,4425,False
visual,LAL094,0.0,0.0,2098,4426,False
visual,LAL096,0.0,0.0,2099,4427,False
visual,LAL098,3.5557241005248176e-08,3.177870546993841e-08,377,387,False
visual,LAL099,2.1060827364646996e-08,5.673732346459324e-08,470,270,False
visual,LAL101,2.7351723850190897e-10,5.804329766198795e-10,969,1179,False
visual,LAL102,9.080772318263379e-08,2.4378185018034944e-08,198,454,False
visual,LAL108,5.743862008540089e-09,1.4655932659651962e-08,653,595,False
visual,LAL111,0.0,0.0,2132,4428,False
visual,LAL113,2.1881379080152718e-09,1.4510824415496988e-10,771,1306,False
visual,LAL114,0.0,0.0,2133,4429,False
visual,LAL119,3.9386482344274895e-08,1.9589612960920935e-08,351,517,False
visual,LAL121,9.026068870562996e-09,0.0,584,4442,False
visual,LAL123,3.829241339026725e-09,8.416278160988255e-09,701,715,False
visual,LAL124,2.7351723850190897e-10,3.177870546993841e-08,951,388,False
visual,LAL126,6.8379309625477245e-09,2.176623662324549e-08,620,485,False
visual,LAL127,0.0,0.0,2136,4443,False
visual,LAL128,0.0,0.0,2137,4444,False
visual,LAL130,0.0,0.0,2139,4445,False
visual,LAL134,2.7351723850190897e-10,1.6687448077821542e-08,964,557,False
visual,LAL139,2.7351723850190897e-10,0.0,963,4393,False
visual,LAL140,0.0,0.0,2142,4394,False
visual,LAL141,1.0120137824570632e-08,7.255412207748496e-10,564,1148,False
visual,LAL142,2.7351723850190897e-10,4.643463812959037e-09,962,845,False
visual,LAL143,0.0,0.0,2143,4395,False
visual,LAL146,0.0,0.0,2144,4397,False
visual,LAL149,0.0,0.0,2129,4401,False
visual,LAL151,0.0,0.0,2130,4465,False
visual,LAL152,6.564413724045816e-09,0.0,629,4482,False
visual,LAL157,0.0,2.466840150634488e-09,2131,962,False
visual,LAL158,4.102758577528634e-08,8.706494649298193e-10,342,1127,False
visual,LAL159,1.9146206695133627e-09,5.514113277888856e-09,777,811,False
visual,LAL160,0.0,0.0,2160,4485,False
visual,LAL162,3.5557241005248166e-09,1.7412989298596386e-09,712,1008,False
visual,LAL163,0.0,0.0,2161,4487,False
visual,LAL165,5.470344770038178e-10,2.3652643797260096e-08,889,457,False
visual,LAL170,3.282206862022908e-09,1.7412989298596386e-09,721,1020,False
visual,LAL171,0.0,1.407549968303208e-08,2163,602,False
visual,LAL180,0.0,1.4510824415496988e-10,2166,1307,False
visual,LAL181,0.0,0.0,2167,4491,False
visual,LAL182,0.0,2.9021648830993976e-10,2168,1279,False
visual,LAL184,0.0,0.0,2169,4492,False
visual,LAL186,0.0,0.0,2170,4493,False
visual,LAL187,0.0,0.0,2182,4494,False
visual,LAL190,3.829241339026725e-09,0.0,700,4498,False
visual,LAL191,0.0,0.0,2183,4499,False
visual,LAL192,0.0,0.0,2184,4500,False
visual,LAL193,5.1968275315362705e-09,2.9021648830993976e-10,667,1268,False
visual,LAL194,0.0,0.0,2185,4501,False
visual,LAL195,0.0,4.788572057114007e-09,2186,840,False
visual,LAL199,0.0,0.0,2155,4503,False
visual,LAL200,4.075406853678444e-08,2.98922982959238e-08,344,405,False
visual,LAL203,0.0,0.0,2156,4504,False
visual,LC10a,0.0,9.867360602537953e-09,2157,683,False
visual,LC10b,3.2275034143225265e-08,0.0,400,4451,False
visual,LC10d,1.8052137741125992e-08,7.458563749565453e-08,492,223,False
visual,LC10e,0.0,0.0,2158,4454,False
visual,LC11,0.0,2.466840150634488e-09,2190,958,False
visual,LC12,1.4769930879103084e-08,0.0,524,4455,False
visual,LC13,7.740537849604023e-08,0.0,229,4456,False
visual,LC14b,0.0,0.0,2191,4458,False
visual,LC15,0.0,5.369005033733887e-09,2192,818,False
visual,LC16,0.0,0.0,2193,4459,False
visual,LC17,4.8686068453339794e-08,1.0767031716298769e-07,299,155,False
visual,LC18,0.0,0.0,2194,4460,False
visual,LC19,1.1405668845529604e-07,1.886407174014609e-09,159,1001,False
visual,LC20a,0.0,1.2914633729792322e-08,2179,620,False
visual,LC20b,8.205517155057271e-09,0.0,594,4461,False
visual,LC21,1.1542427464780561e-07,0.0,150,4462,False
visual,LC22,0.0,8.184104970340304e-08,2180,206,False
visual,LC24,0.0,0.0,2181,4463,False
visual,LC25,0.0,0.0,2211,4464,False
visual,LC26,0.0,0.0,2212,4481,False
visual,LC27,0.0,0.0,2213,4308,False
visual,LC29,0.0,0.0,2215,4326,False
visual,LC31a,0.0,0.0,2216,4312,False
visual,LC31b,9.299586109064905e-09,1.3959413087708106e-07,580,111,False
