root_id,betweenness,rank
720575940620199962,7.583751663513154e-06,95
720575940625977802,7.51897206447151e-06,96
720575940615366055,7.458393987329631e-06,97
720575940633984924,7.351782399430203e-06,98
720575940617179451,7.237460289807564e-06,99
720575940634939327,7.145089642255171e-06,100
720575940626650776,7.072546015669263e-06,101
720575940639314229,6.836225612493669e-06,102
720575940644961588,6.555280040368317e-06,103
720575940616758322,6.5184648436182315e-06,104
720575940626247823,6.468085044686755e-06,105
720575940640697808,6.452800839254681e-06,106
720575940617781383,6.390278431428147e-06,107
720575940622448589,6.3541913889466175e-06,108
720575940632167085,6.249718521598956e-06,109
720575940618277184,6.140181285926045e-06,110
720575940615160386,6.1294272132060125e-06,111
720575940617207185,6.022864187976839e-06,112
720575940632416298,5.892520600295664e-06,113
720575940609460491,5.884188108123225e-06,114
720575940612840982,5.8585886901726655e-06,115
720575940621398254,5.788680927225063e-06,116
720575940623366102,5.705068232967385e-06,117
720575940638624189,5.699288780170724e-06,118
720575940633741229,5.675386929055683e-06,119
720575940617343316,5.661257277277146e-06,120
720575940617668747,5.641361075838724e-06,121
720575940625251401,5.615360535489995e-06,122
720575940619895125,5.550238666090266e-06,123
720575940631842360,5.465193315686638e-06,124
720575940619071005,5.397340301648907e-06,125
720575940621696747,5.356205605516128e-06,126
720575940626958878,5.350987102666402e-06,127
720575940641148149,5.029056459983172e-06,128
720575940620595053,4.985766971398145e-06,129
720575940627044885,4.970197365282284e-06,130
720575940614474407,4.965159659517394e-06,131
720575940637628762,4.9104748752384985e-06,132
720575940644362788,4.887486532202549e-06,133
720575940630549370,4.872244711229168e-06,134
720575940613419695,4.850900937790164e-06,135
720575940613527761,4.704849215603663e-06,136
720575940616273631,4.547317074973216e-06,137
720575940617571997,4.510815348857509e-06,138
720575940620931312,4.4832538294537285e-06,139
720575940639080765,4.457626453232168e-06,140
720575940627042064,4.439620557941911e-06,141
720575940618343734,4.424601007714797e-06,142
720575940605102694,4.416000640858168e-06,143
720575940616079035,4.403586357465912e-06,144
720575940634303132,4.302954111739293e-06,145
720575940633165025,4.265163722455506e-06,146
720575940628586283,4.247244815689522e-06,147
720575940609739669,4.2111436078822e-06,148
720575940627096957,4.201627458606193e-06,149
720575940633190847,4.1864383444425176e-06,150
720575940619456728,4.169825174150671e-06,151
720575940622368792,4.164848271309474e-06,152
720575940629701737,4.129000072537201e-06,153
720575940621529435,4.11540256683417e-06,154
720575940618461121,3.995144292292572e-06,155
720575940635082871,3.9502267627974e-06,156
720575940610408643,3.906787624962774e-06,157
720575940618594022,3.8752787816557526e-06,158
720575940638633535,3.870594121140212e-06,159
720575940623146701,3.86155649974444e-06,160
720575940624435128,3.855226391877235e-06,161
720575940633074145,3.7872259129874235e-06,162
720575940631586858,3.7860167062175317e-06,163
720575940638803790,3.783592427514675e-06,164
720575940612732273,3.783130468913292e-06,165
720575940627927573,3.766245637748526e-06,166
720575940628467611,3.7433516083317835e-06,167
720575940628283560,3.7195684770310216e-06,168
720575940630131663,3.707705355518497e-06,169
720575940622633716,3.70450323251e-06,170
720575940629733626,3.7040486486295012e-06,171
720575940626682682,3.664072370776975e-06,172
720575940613258221,3.6394778033454633e-06,173
720575940656090017,3.5797080005848458e-06,174
720575940612856273,3.5390568940379634e-06,175
720575940618865112,3.473751626018123e-06,176
720575940629009513,3.471287644898176e-06,177
720575940620068518,3.467781913290727e-06,178
720575940614727903,3.451771470944798e-06,179
720575940609957315,3.438873396441611e-06,180
720575940627154063,3.4063722795771086e-06,181
720575940625014928,3.3941409573393837e-06,182
720575940608628419,3.3914977708736537e-06,183
720575940623444715,3.3772416205888847e-06,184
720575940606649865,3.35301987261737e-06,185
720575940623203805,3.351348061598039e-06,186
720575940629561338,3.3439259798545662e-06,187
720575940630697979,3.340349967612986e-06,188
720575940646122804,3.3327237877874703e-06,189
720575940604431584,3.3322628147108168e-06,190
720575940626378242,3.32332075312118e-06,191
720575940626535973,3.3229550480080144e-06,192
720575940618308825,3.318322589134251e-06,193
720575940630066007,3.2644964746376074e-06,194
720575940632198442,3.240353087145958e-06,195
720575940630547909,3.224757899870432e-06,196
720575940642086389,3.2104077086673394e-06,197
720575940637098352,3.2051478256052425e-06,198
720575940628822248,3.200863271551419e-06,199
720575940616345686,3.1986647017677724e-06,200
720575940637208718,3.195121743872867e-06,201
720575940640804853,3.189878166460893e-06,202
720575940623913364,3.1870770532828383e-06,203
720575940614155882,3.178607288594528e-06,204
720575940604407468,3.174910238475998e-06,205
720575940621551854,3.167614268488428e-06,206
720575940627035388,3.1259149923915085e-06,207
720575940612475598,3.117219071516165e-06,208
720575940614756589,3.001198434663082e-06,209
720575940618886710,2.992929968860525e-06,210
720575940624834697,2.990812854086847e-06,211
720575940628420264,2.984638185772317e-06,212
720575940617120697,2.95600762687583e-06,213
720575940623983859,2.95374569687077e-06,214
720575940615723314,2.9106047068295257e-06,215
720575940623862015,2.89853367319873e-06,216
720575940623136717,2.881014463911949e-06,217
720575940616020795,2.859535546348776e-06,218
720575940625784153,2.8448700914641394e-06,219
720575940623450564,2.8279163527496395e-06,220
720575940630989354,2.812183808478176e-06,221
720575940617504581,2.8077164521966347e-06,222
720575940612197374,2.78811630346549e-06,223
720575940630571052,2.784680700978957e-06,224
720575940627604327,2.744652793446096e-06,225
720575940621500865,2.7417872221806893e-06,226
720575940608845525,2.7159257000904027e-06,227
720575940623543881,2.714963224364615e-06,228
720575940607459849,2.6983868345274683e-06,229
720575940611137742,2.6702215143138424e-06,230
720575940659429761,2.6125854944314844e-06,231
720575940627265274,2.6102727950825386e-06,232
720575940620749807,2.6039221912006307e-06,233
720575940623739076,2.5755673655166453e-06,234
720575940628059978,2.562818314685035e-06,235
720575940619517233,2.5580484743400937e-06,236
720575940634695263,2.5541942228678357e-06,237
720575940633804212,2.540733852490725e-06,238
720575940632713759,2.521479720971781e-06,239
720575940630024566,2.517073425347251e-06,240
720575940619441345,2.507520444087031e-06,241
720575940635565816,2.505526454819411e-06,242
720575940623041549,2.4908242041481207e-06,243
720575940610100437,2.4851329431105542e-06,244
720575940615513086,2.4703268879191363e-06,245
720575940634710629,2.4606010134042075e-06,246
720575940631462200,2.4346560698154115e-06,247
720575940603985952,2.4240685169683043e-06,248
720575940617903168,2.4155791540626955e-06,249
720575940617299131,2.3626010898883017e-06,250
720575940611372714,2.354828254854985e-06,251
720575940629011655,2.3386384118823073e-06,252
720575940624986407,2.329716805184925e-06,253
720575940622331882,2.3242532256498305e-06,254
720575940605400096,2.31232380957902e-06,255
720575940620633070,2.2908547618946663e-06,256
720575940629279544,2.280355738072023e-06,257
720575940620840948,2.2628367119753636e-06,258
720575940622054497,2.2497535108631543e-06,259
720575940611671506,2.2463140132450923e-06,260
720575940612699761,2.246142870807711e-06,261
720575940657858433,2.224552428049795e-06,262
720575940640830453,2.177969064136842e-06,263
720575940626991147,2.176470588188573e-06,264
720575940625110967,2.1710817650623595e-06,265
720575940619928429,2.1581498853723965e-06,266
720575940614137809,2.157477040286378e-06,267
720575940634325087,2.156847139526233e-06,268
720575940627708688,2.1555985078305564e-06,269
720575940627192337,2.1512518327948598e-06,270
720575940630914858,2.150569123778569e-06,271
720575940618499238,2.1493139476185786e-06,272
720575940615808029,2.1355397485750133e-06,273
720575940625584484,2.11053313437818e-06,274
720575940627844734,2.107677032571866e-06,275
720575940623084170,2.1037330113332734e-06,276
720575940625493400,2.0910660859911923e-06,277
720575940621316033,2.0831438778565195e-06,278
720575940621776161,2.0790280802713035e-06,279
720575940660914561,2.070476691096794e-06,280
