root_id,super_class,class
720575940617110306,sensory,mechanosensory
720575940645716771,central,unknown
720575940612227880,central,unknown
720575940623696681,central,unknown
720575940631397165,sensory,mechanosensory
720575940630741805,central,unknown
720575940632281901,central,unknown
720575940624450352,central,unknown
720575940614751027,visual_projection,unknown
720575940647945012,central,unknown
720575940616356662,central,unknown
720575940628841271,central,unknown
720575940632380216,central,unknown
720575940627039034,sensory,mechanosensory
720575940617241403,central,unknown
720575940629201724,central,unknown
720575940639032125,central,unknown
720575940625040190,central,unknown
720575940636574527,central,unknown
720575940617438016,ascending,AN
720575940613604162,central,unknown
720575940629201731,central,unknown
720575940632281927,motor,brain_motor_neuron
720575940628513610,optic,optic_lobe_intrinsic
720575940638638926,central,unknown
720575940616553300,ascending,AN
720575940617143124,ascending,AN
720575940616848214,central,unknown
720575940622123875,central,unknown
720575940604494694,optic,optic_lobe_intrinsic
720575940604330854,central,unknown
720575940630020968,central,unknown
720575940621009773,central,unknown
720575940644733806,central,unknown
720575940633625455,sensory,mechanosensory
720575940643783534,central,unknown
720575940629594998,central,unknown
720575940649812857,ascending,AN
720575940629824378,sensory,mechanosensory
720575940621566844,descending,unknown
720575940622058364,central,unknown
720575940629988222,optic,optic_lobe_intrinsic
720575940626088835,descending,unknown
720575940646372228,sensory,thermosensory
720575940625597317,central,unknown
720575940620878727,central,unknown
720575940622189448,central,unknown
720575940632118156,central,unknown
720575940643259277,central,unknown
720575940625433488,central,LHLN
720575940623008659,central,unknown
720575940634018711,central,unknown
720575940617175965,central,ALLN
720575940618519454,descending,unknown
720575940618552229,central,unknown
720575940618879910,central,unknown
720575940619928485,central,unknown
720575940626777000,central,unknown
720575940622156720,central,unknown
720575940605019057,central,unknown
720575940606919602,central,unknown
720575940607345586,central,unknown
720575940636574644,central,unknown
720575940619207606,central,unknown
720575940625531832,optic,optic_lobe_intrinsic
720575940638770109,optic,optic_lobe_intrinsic
720575940639359933,optic,optic_lobe_intrinsic
720575940620321728,central,unknown
720575940620878785,descending,unknown
720575940629398466,central,unknown
720575940624516042,sensory,mechanosensory
720575940620846027,central,unknown
720575940622123981,central,unknown
720575940614128593,ascending,AN
720575940613080017,central,unknown
720575940617044948,central,unknown
720575940606624725,central,unknown
720575940617536473,optic,optic_lobe_intrinsic
720575940621566941,central,unknown
720575940610753503,sensory,mechanosensory
720575940638770148,central,unknown
720575940626514920,sensory,mechanosensory
720575940611867629,central,unknown
720575940621665263,central,unknown
720575940620026864,central,unknown
720575940619207664,central,unknown
720575940611277810,central,unknown
720575940611638258,central,unknown
720575940610753522,central,unknown
720575940636410869,sensory,mechanosensory
720575940649911286,central,unknown
720575940653581302,central,unknown
720575940614358014,central,unknown
720575940615406590,central,unknown
720575940629365760,sensory,mechanosensory
720575940618748929,central,unknown
720575940625073154,sensory,mechanosensory
720575940625564676,central,ALPN
720575940623467527,descending,unknown
720575940614456332,central,unknown
720575940631331855,sensory,gustatory
720575940631299090,central,unknown
720575940625466387,central,unknown
720575940644275223,ascending,AN
720575940617110555,central,unknown
720575940609934365,sensory,mechanosensory
720575940617241629,central,unknown
720575940631594015,ascending,AN
720575940616324130,central,unknown
720575940624253991,central,unknown
720575940622943271,central,unknown
720575940630086698,central,unknown
720575940632085549,central,unknown
720575940632740911,optic,optic_lobe_intrinsic
720575940626580528,central,unknown
720575940618847281,sensory,mechanosensory
720575940614128691,central,unknown
720575940647060532,central,unknown
720575940637721653,central,unknown
720575940617995318,central,unknown
720575940631168057,descending,unknown
720575940624352318,central,unknown
720575940625433662,central,unknown
720575940609377348,central,unknown
720575940622550089,descending,unknown
720575940621567052,central,unknown
720575940625204301,central,unknown
720575940637918286,optic,optic_lobe_intrinsic
720575940628087887,central,unknown
720575940618028125,central,unknown
720575940621894750,central,unknown
720575940628218976,sensory,mechanosensory
720575940625826916,sensory,mechanosensory
720575940627989609,sensory,unknown_sensory
720575940627891305,central,unknown
720575940630119532,descending,unknown
720575940629365868,central,unknown
720575940636116080,visual_centrifugal,unknown
720575940638082163,sensory,mechanosensory
720575940621370484,central,unknown
720575940636345463,central,unknown
720575940636083319,central,unknown
720575940650337401,optic,optic_lobe_intrinsic
720575940611507320,central,unknown
720575940619076731,central,unknown
720575940625761411,central,unknown
720575940618388614,ascending,AN
720575940617602183,central,unknown
720575940626875529,sensory,mechanosensory
720575940635919502,central,unknown
720575940637000846,central,unknown
720575940622910611,central,unknown
720575940615832726,optic,optic_lobe_intrinsic
720575940627694744,optic,optic_lobe_intrinsic
720575940625990808,central,unknown
720575940626941080,central,unknown
720575940633953434,descending,unknown
720575940628874395,sensory,mechanosensory
720575940633429148,sensory,mechanosensory
720575940628710555,ascending,AN
720575940618355870,central,unknown
720575940634838172,optic,optic_lobe_intrinsic
720575940618519710,motor,brain_motor_neuron
720575940634215578,optic,optic_lobe_intrinsic
720575940642669728,sensory,olfactory
720575940631987364,descending,unknown
720575940633724068,optic,optic_lobe_intrinsic
720575940627498152,central,unknown
720575940621501609,sensory,mechanosensory
720575940628120744,visual_projection,unknown
720575940620223659,central,CX
720575940631397549,visual_projection,unknown
720575940636050606,central,unknown
720575940612359343,central,unknown
720575940622156976,visual_centrifugal,unknown
720575940634739886,central,mAL
720575940610524339,central,unknown
720575940638540989,optic,optic_lobe_intrinsic
720575940606756030,optic,optic_lobe_intrinsic
720575940619568320,central,unknown
720575940622746820,central,unknown
720575940623041732,central,unknown
720575940617012422,central,unknown
720575940628055239,optic,optic_lobe_intrinsic
720575940620813515,optic,optic_lobe_intrinsic
720575940633101516,central,unknown
720575940612162769,central,unknown
720575940628546775,central,unknown
720575940637656286,central,unknown
720575940611638499,central,unknown
720575940637590756,central,unknown
720575940612752611,visual_projection,unknown
720575940616946918,central,unknown
720575940617995494,optic,optic_lobe_intrinsic
720575940615570662,central,unknown
720575940627432680,descending,unknown
720575940622288107,central,unknown
720575940612981997,central,unknown
720575940620715247,central,unknown
720575940620092656,sensory,mechanosensory
720575940629464305,central,unknown
720575940624581875,central,unknown
720575940622877940,sensory,mechanosensory
720575940630447353,central,unknown
720575940629497088,visual_projection,unknown
720575940617176321,visual_projection,unknown
720575940627825923,descending,unknown
720575940627924227,descending,unknown
720575940627301638,central,unknown
720575940607968523,central,unknown
720575940623697165,optic,optic_lobe_intrinsic
720575940629792018,sensory,mechanosensory
720575940611507478,central,unknown
720575940621141274,sensory,mechanosensory
720575940630971679,sensory,mechanosensory
720575940631758111,central,LHLN
720575940606461216,central,unknown
720575940625663269,central,unknown
720575940623729968,sensory,mechanosensory
720575940614554930,central,unknown
720575940646044980,sensory,mechanosensory
720575940638475573,sensory,olfactory
720575940629824825,central,unknown
720575940617405755,optic,optic_lobe_intrinsic
720575940629792060,descending,unknown
720575940638770493,central,unknown
720575940638770495,central,unknown
720575940626384200,visual_projection,unknown
720575940627334474,sensory,mechanosensory
720575940633429331,visual_projection,unknown
720575940616783190,central,unknown
720575940616062294,optic,optic_lobe_intrinsic
720575940640867672,central,unknown
720575940624876889,central,unknown
720575940614817117,central,unknown
720575940619896161,optic,optic_lobe_intrinsic
720575940619928929,sensory,gustatory
720575940608755042,central,unknown
720575940604364134,central,unknown
720575940614686058,sensory,mechanosensory
720575940634903915,descending,unknown
720575940611081586,central,unknown
720575940638410099,visual_projection,unknown
720575940648699257,optic,optic_lobe_intrinsic
720575940618356091,central,unknown
720575940626318717,central,unknown
720575940621239679,central,ALPN
720575940659479937,sensory,unknown_sensory
720575940660233601,central,unknown
720575940625204611,sensory,mechanosensory
720575940659709313,central,unknown
720575940625991043,visual_projection,unknown
720575940618225030,central,unknown
720575940624352643,sensory,gustatory
720575940623107464,central,unknown
720575940660397441,optic,optic_lobe_intrinsic
720575940629235084,sensory,mechanosensory
720575940637197710,central,unknown
720575940623533459,central,unknown
720575940622648723,central,unknown
720575940621960595,central,unknown
720575940635362716,central,unknown
720575940633396636,central,unknown
720575940614751650,central,unknown
720575940630513060,ascending,AN
720575940620125605,central,unknown
720575940619437478,sensory,mechanosensory
720575940614161831,central,unknown
720575940619011494,central,mAL
720575940632413604,central,unknown
720575940636181934,central,unknown
720575940619470256,optic,optic_lobe_intrinsic
720575940606002609,sensory,gustatory
720575940607641010,motor,brain_motor_neuron
720575940615308729,central,unknown
720575940616127931,central,unknown
720575940605707710,central,unknown
720575940604364222,central,unknown
720575940619830721,central,unknown
720575940618356161,central,unknown
720575940618388929,central,unknown
720575940627170759,central,unknown
720575940642506184,sensory,mechanosensory
720575940605937097,central,unknown
720575940625335754,central,unknown
720575940618847691,central,unknown
720575940632020428,central,unknown
720575940611671506,central,ALLN
720575940622321110,descending,unknown
720575940617930200,central,unknown
720575940634609115,sensory,mechanosensory
720575940630480348,descending,unknown
720575940602430944,ascending,AN
720575940637623780,central,ALLN
720575940616947174,central,unknown
720575940624156139,central,unknown
720575940623238636,sensory,mechanosensory
720575940611343853,sensory,mechanosensory
720575940623992300,descending,unknown
720575940613113325,central,unknown
720575940620813808,sensory,mechanosensory
720575940629595633,central,unknown
720575940612654573,central,unknown
720575940620649972,sensory,mechanosensory
720575940630382075,descending,unknown
720575940623992317,central,unknown
720575940615505406,descending,unknown
720575940624057853,central,ALPN
720575940629300736,central,unknown
720575940622026245,central,unknown
720575940626744838,central,unknown
720575940629431814,central,unknown
720575940617045516,central,unknown
720575940631299602,central,unknown
720575940627990035,visual_centrifugal,unknown
720575940619601428,central,unknown
720575940626679317,sensory,unknown_sensory
720575940619765268,central,unknown
720575940619109915,central,unknown
720575940617242141,central,unknown
720575940627629598,descending,unknown
720575940633396767,central,unknown
720575940626089502,central,unknown
720575940631070239,sensory,unknown_sensory
720575940604167712,central,unknown
720575940622616102,central,unknown
720575940627007019,central,unknown
720575940624418352,sensory,mechanosensory
720575940625172016,central,unknown
720575940612523571,central,unknown
720575940626843194,central,unknown
720575940626286142,optic,optic_lobe_intrinsic
720575940621174337,central,unknown
720575940620486209,optic,optic_lobe_intrinsic
720575940630906435,central,unknown
720575940631463495,sensory,mechanosensory
720575940628743752,motor,brain_motor_neuron
720575940623140428,central,unknown
720575940625040973,sensory,mechanosensory
720575940629005903,central,unknown
720575940619601488,central,unknown
720575940627301970,optic,optic_lobe_intrinsic
720575940632839763,central,unknown
720575940617373268,descending,unknown
720575940617799253,central,unknown
720575940620682837,optic,optic_lobe_intrinsic
720575940630251095,sensory,mechanosensory
720575940639196760,sensory,mechanosensory
720575940620093019,central,unknown
720575940618815067,central,unknown
720575940621665886,sensory,mechanosensory
720575940621502051,sensory,gustatory
720575940636542565,sensory,mechanosensory
720575940636903013,central,unknown
720575940628350567,central,unknown
720575940627072617,central,unknown
720575940615898730,descending,unknown
720575940621796973,visual_centrifugal,unknown
720575940646274670,motor,brain_motor_neuron
720575940620879476,central,unknown
720575940616390261,central,unknown
720575940611442296,central,unknown
720575940608788088,central,unknown
720575940620027515,central,CX
720575940622812799,central,ALLN
720575940659709569,central,unknown
720575940607280770,central,unknown
720575940648633988,central,ALLN
720575940619077255,central,unknown
720575940622386824,descending,unknown
720575940617569931,central,unknown
720575940631365260,central,unknown
720575940643325581,central,unknown
720575940634379918,sensory,mechanosensory
720575940635952782,central,unknown
720575940636411534,central,unknown
720575940613637785,central,unknown
720575940635330204,central,unknown
720575940633953948,central,unknown
720575940652566177,sensory,mechanosensory
720575940630546084,central,unknown
720575940620813989,visual_projection,unknown
720575940620289701,sensory,gustatory
720575940613473959,central,unknown
720575940628711080,optic,optic_lobe_intrinsic
720575940620748457,central,unknown
720575940613080751,sensory,gustatory
720575940604954289,descending,unknown
720575940606428850,central,unknown
720575940612327091,ascending,AN
720575940623533749,central,unknown
720575940627269306,central,unknown
720575940620879552,sensory,mechanosensory
720575940620322497,descending,unknown
720575940623468228,central,unknown
720575940622517956,central,unknown
720575940615046854,central,unknown
720575940629661381,visual_projection,unknown
720575940624352970,central,unknown
720575940618847947,central,unknown
720575940633593548,central,unknown
720575940640147152,central,unknown
720575940630775511,optic,optic_lobe_intrinsic
720575940630644439,optic,optic_lobe_intrinsic
720575940642506459,central,unknown
720575940631365340,central,unknown
720575940631693026,central,unknown
720575940612261603,central,unknown
720575940637296356,central,ALON
720575940638312164,optic,optic_lobe_intrinsic
720575940625041127,optic,optic_lobe_intrinsic
720575940628416232,visual_projection,ocellar
720575940612687597,sensory,mechanosensory
720575940621403887,visual_projection,unknown
720575940625532659,central,unknown
720575940619863796,central,unknown
720575940634085112,central,unknown
720575940630546171,optic,optic_lobe_intrinsic
720575940629137148,visual_projection,unknown
720575940626646787,sensory,mechanosensory
720575940626810628,central,unknown
720575940628481798,central,unknown
720575940608526089,central,unknown
720575940625499914,central,unknown
720575940620715789,sensory,mechanosensory
720575940622616333,central,unknown
720575940625172238,central,unknown
720575940631037711,central,unknown
720575940632413970,central,unknown
720575940627367699,central,unknown
720575940627236629,central,unknown
720575940627728149,central,unknown
720575940632807193,central,unknown
720575940627367708,central,unknown
720575940609541917,sensory,mechanosensory
720575940626745118,optic,optic_lobe_intrinsic
720575940633397023,central,unknown
720575940603676448,central,unknown
720575940621633313,sensory,mechanosensory
720575940621272865,sensory,mechanosensory
720575940622124833,central,unknown
720575940622681889,visual_centrifugal,unknown
720575940613408552,descending,unknown
720575940630120236,optic,optic_lobe_intrinsic
720575940633855789,central,unknown
720575940627105580,optic,optic_lobe_intrinsic
720575940624877360,descending,unknown
720575940614424370,central,unknown
720575940613408563,central,unknown
720575940644439860,sensory,mechanosensory
720575940632381240,optic,optic_lobe_intrinsic
720575940629432124,central,unknown
720575940625729342,ascending,AN
720575940636346175,central,unknown
720575940617471813,central,unknown
720575940638312262,sensory,gustatory
720575940622518092,central,unknown
720575940622616396,optic,optic_lobe_intrinsic
720575940637820750,sensory,mechanosensory
720575940638312270,sensory,mechanosensory
720575940630054735,descending,unknown
720575940638803790,central,unknown
720575940640868184,optic,optic_lobe_intrinsic
720575940625696601,sensory,gustatory
720575940623173470,sensory,gustatory
720575940634707807,central,unknown
720575940632741728,central,unknown
720575940634675045,central,unknown
720575940637624165,central,unknown
720575940626745193,central,unknown
720575940635166571,descending,unknown
720575940630153068,optic,optic_lobe_intrinsic
720575940646274926,central,unknown
720575940636804976,sensory,mechanosensory
720575940640507763,central,unknown
720575940621305716,central,unknown
720575940630087542,central,unknown
720575940626548605,visual_centrifugal,unknown
720575940630546302,central,unknown
720575940660004737,central,unknown
720575940626319235,descending,unknown
720575940634838926,central,unknown
720575940635953038,central,unknown
720575940637656974,central,unknown
720575940618422161,central,unknown
720575940613900178,central,unknown
720575940610525077,central,unknown
720575940635625367,central,unknown
720575940613638041,visual_projection,unknown
720575940635363228,central,unknown
720575940641359776,central,unknown
720575940654401441,central,unknown
720575940644702112,visual_centrifugal,unknown
720575940639786915,central,unknown
720575940614490023,central,unknown
720575940615341991,optic,optic_lobe_intrinsic
720575940633921453,central,unknown
720575940637820846,central,unknown
720575940635527092,ascending,AN
720575940622387126,central,unknown
720575940624549820,central,ALLN
720575940620879808,sensory,mechanosensory
720575940629104578,optic,optic_lobe_intrinsic
720575940606920643,central,unknown
720575940622944196,descending,unknown
720575940627695559,central,unknown
720575940628645831,optic,optic_lobe_intrinsic
720575940624680906,central,unknown
720575940619110347,central,unknown
720575940619536331,central,unknown
720575940620781515,visual_projection,bilateral
720575940609869774,sensory,mechanosensory
720575940614129617,descending,unknown
720575940609476562,sensory,gustatory
720575940631988179,sensory,mechanosensory
720575940631037907,central,unknown
720575940608296917,sensory,gustatory
720575940622190550,central,unknown
720575940627957719,central,unknown
720575940622583766,central,unknown
720575940629792732,central,ALLN
720575940615407583,ascending,AN
720575940618291174,central,ALIN
720575940628121576,optic,optic_lobe_intrinsic
720575940637788137,central,unknown
720575940621076458,sensory,mechanosensory
720575940623042539,sensory,mechanosensory
720575940624943084,motor,brain_motor_neuron
720575940623697898,central,unknown
720575940622452715,central,unknown
720575940619864047,central,unknown
720575940622190571,central,unknown
720575940613670893,central,unknown
720575940610656242,central,unknown
720575940651681782,central,unknown
720575940630644727,central,unknown
720575940630775801,central,unknown
720575940628154364,visual_centrifugal,unknown
720575940624353277,optic,optic_lobe_intrinsic
720575940624222205,central,unknown
720575940624287741,central,unknown
720575940628252672,central,unknown
720575940629301248,central,ALPN
720575940622878719,descending,unknown
720575940621928453,central,unknown
720575940627269642,central,unknown
720575940607019019,sensory,mechanosensory
720575940624156686,sensory,mechanosensory
720575940630808591,descending,unknown
720575940628514832,central,unknown
720575940626974737,central,unknown
720575940624746510,central,unknown
720575940625270798,optic,optic_lobe_intrinsic
720575940630284306,sensory,olfactory
720575940624156696,sensory,mechanosensory
720575940633561113,central,unknown
720575940617537570,central,ALLN
720575940621043753,central,unknown
720575940631693354,central,unknown
720575940626745387,central,unknown
720575940628056107,central,unknown
720575940631889965,descending,unknown
720575940633462829,central,unknown
720575940632905775,optic,optic_lobe_intrinsic
720575940614195251,optic,optic_lobe_intrinsic
720575940647061556,central,unknown
720575940617668662,sensory,mechanosensory
720575940618979382,optic,optic_lobe_intrinsic
720575940623960126,central,unknown
720575940618684481,sensory,mechanosensory
720575940614785090,central,unknown
720575940610000964,central,unknown
720575940632086599,central,unknown
720575940627105864,sensory,mechanosensory
720575940627826760,descending,unknown
720575940629170250,descending,unknown
720575940624287821,central,unknown
720575940638148686,central,unknown
720575940628252751,descending,unknown
720575940619339856,central,unknown
720575940630022223,central,unknown
720575940633135185,optic,optic_lobe_intrinsic
720575940630448215,sensory,mechanosensory
720575940629956695,descending,unknown
720575940627761241,optic,optic_lobe_intrinsic
720575940637296730,sensory,mechanosensory
720575940632381536,central,unknown
720575940632184928,central,unknown
720575940621928547,optic,optic_lobe_intrinsic
720575940636477541,central,unknown
720575940605282406,descending,unknown
720575940628613223,central,unknown
720575940635134053,central,unknown
720575940630546540,central,ALPN
720575940635723887,central,unknown
720575940635789423,central,unknown
720575940612196465,optic,optic_lobe_intrinsic
720575940637755507,central,unknown
720575940615276661,sensory,mechanosensory
720575940635297911,central,unknown
720575940636346487,central,unknown
720575940608985208,central,unknown
720575940619077755,descending,unknown
