root_id,super_class,class
720575940624680172,central,LHLN
720575940623041772,central,Kenyon_Cell
720575940611966194,sensory,olfactory
720575940623729907,sensory,olfactory
720575940631135488,central,unknown
720575940627629315,sensory,olfactory
720575940628251907,central,ALLN
720575940627825923,descending,unknown
720575940625007879,central,unknown
720575940615800076,central,Kenyon_Cell
720575940626941205,central,Kenyon_Cell
720575940627367189,central,Kenyon_Cell
720575940622517530,sensory,olfactory
720575940622091546,central,LHLN
720575940631758111,central,LHLN
720575940632544543,central,unknown
720575940620191009,central,unknown
720575940644472100,central,Kenyon_Cell
720575940623271206,central,unknown
720575940611736872,central,unknown
720575940628251947,sensory,olfactory
720575940638475573,sensory,olfactory
720575940631201079,central,Kenyon_Cell
720575940629824825,central,unknown
720575940629824828,central,Kenyon_Cell
720575940623205705,sensory,olfactory
720575940625007949,central,ALPN
720575940625925458,central,Kenyon_Cell
720575940639917400,central,unknown
720575940626482521,central,unknown
720575940617176413,central,Kenyon_Cell
720575940633331040,central,unknown
720575940614653290,sensory,olfactory
720575940630250860,central,unknown
720575940630414700,central,Kenyon_Cell
720575940634510703,central,Kenyon_Cell
720575940615144821,sensory,olfactory
720575940629726590,central,LHLN
720575940621239679,central,ALPN
720575940605412738,central,Kenyon_Cell
720575940625728899,sensory,olfactory
720575940627203461,central,unknown
720575940623107464,central,unknown
720575940636607886,central,LHLN
720575940611114389,sensory,olfactory
720575940635362716,central,unknown
720575940643063200,central,Kenyon_Cell
720575940639753635,central,unknown
720575940632413604,central,unknown
720575940621436325,central,unknown
720575940614489511,central,unknown
720575940626744744,sensory,olfactory
720575940635493812,central,unknown
720575940625860026,central,Kenyon_Cell
720575940615210427,central,unknown
720575940616127931,central,unknown
720575940634183103,sensory,olfactory
720575940620420544,central,unknown
720575940620617153,central,unknown
720575940620355009,central,Kenyon_Cell
720575940623369668,central,Kenyon_Cell
720575940611671506,central,ALLN
720575940610229717,central,unknown
720575940620912086,sensory,olfactory
720575940629235159,sensory,olfactory
720575940631365084,central,unknown
720575940614981087,central,Kenyon_Cell
720575940637623780,central,ALLN
720575940624811499,central,unknown
720575940620158447,central,unknown
720575940612031986,central,ALPN
720575940651419126,central,unknown
720575940631725561,central,ALPN
720575940624057853,central,ALPN
720575940616783361,sensory,olfactory
720575940625368578,sensory,olfactory
720575940629431814,central,unknown
720575940628055558,central,Kenyon_Cell
720575940625958414,central,ALLN
720575940626253331,sensory,olfactory
720575940644308503,central,mAL
720575940626220574,central,Kenyon_Cell
720575940631201311,sensory,olfactory
720575940628186667,central,Kenyon_Cell
720575940631135789,central,unknown
720575940646667828,central,Kenyon_Cell
720575940630644281,sensory,hygrosensory
720575940631758393,central,DAN
720575940629694027,central,Kenyon_Cell
720575940624221773,central,unknown
720575940618159696,central,unknown
720575940633036369,central,ALPN
720575940633036371,sensory,olfactory
720575940615833174,sensory,olfactory
